Id_Materia;Nombre
493;PRÁCTICA CONTABLE
494;RÉGIMEN TRIBUTARIO I
495;RÉGIMEN TRIBUTARIO II
496;INTRODUCCIÓN A LA FILOSOFÍA
497;TÉCNICAS DE INVESTIGACIÓN SOCIAL I
498;DISEÑOMÁTICA MULTIMEDIAL I
499;DISEÑOMÁTICA MULTIMEDIAL II
500;DISEÑOMÁTICA MULTIMEDIAL III
501;HIGIENE Y SEGURIDAD EN EL TRABAJO
502;TERRITORIO Y PLANIFICACIÓN AMBIENTAL
503;EXPRESIÓN ORAL Y ESCRITA
504;QUÍMICA GENERAL Y AMBIENTAL
505;PROGRAMACIÓN WEB
506;SISTEMAS ECOLÓGICOS
507;PROCESOS AMBIENTALES
508;SEMINARIO EN PRÁCTICA EN SISTEMAS ECOLÓGICOS
509;MONITOREO AMBIENTAL
510;RESIDUOS SÓLIDOS
511;SISTEMA DE GESTIÓN AMBIENTAL I
512;SEMINARIO DE PRÁCTICA DE PLANIFICACIÓN
513;RESIDUOS PELIGROSOS
514;GESTIÓN DE LOS RECURSOS NATURALES
515;SISTEMA DE GESTIÓN AMBIENTAL II
516;EDICIÓN DIGITAL
517;PLANTAS ORNAMENTALES I
518;TALLER DE DIBUJO
519;TEORÍA Y COMPOSICIÓN EN DISEÑO DEL PAISAJE I
520;HARDWARE Y CONSOLAS
521;HISTORIA Y ANÁLISIS DE LOS VIDEOJUEGOS
522;PROGRAMACIÓN LÓGICA I
523;PROGRAMACIÓN LÓGICA II
524;EDICIÓN DE IMÁGENES DIGITALES
525;LABORATORIO DE VIDEOJUEGOS I
526;GUIONADO DE SIMULACIONES VIRTUALES Y VIDEOJUEGOS
527;DISEÑOMÁTICA PARA VIDEOJUEGOS I
528;PROGRAMACIÓN
529;LABORATORIO DE VIDEOJUEGOS II
530;DISEÑOMÁTICA DE VIDEOJUEGOS II
531;EDICIÓN DIGITAL DE VIDEO
532;TALLER DE SIMULACIONES VIRTUALES Y VIDEOJUEGOS
533;MOTORES GRÁFICOS
534;GESTIÓN Y PROYECTOS DE SIMULACIONES VIRTUALES Y VIDEOJUEGOS
535;DISEÑOMÁTICA DE VIDEOJUEGOS III
536;NEGOCIOS Y SIMULACIONES VIRTUALES
537;SEMINARIO FINAL DE SIMULACIONES VIRTUALES Y VIDEOJUEGOS
538;PRODUCCIÓN AUDIOVISUAL I
539;PRODUCCIÓN AUDIOVISUAL II
540;REDACCIÓN PUBLICITARIA
541;DIRECCIÓN DE CUENTAS
542;PUBLICIDAD DIGITAL
543;LABORATORIO DE PROGRAMACIÓN I
544;LABORATORIO DE PROGRAMACIÓN II
545;MATEMÁTICA DISCRETA
546;LABORATORIO DE PROGRAMACIÓN III
547;APLICACIONES WEB I
548;APLICACIONES WEB II
549;ÉTICA Y DEONTOLOGÍA
550;BASE DE DATOS I
551;BASE DE DATOS II
552;INGENIERÍA DE SOFTWARE
553;INTRODUCCIÓN A LA FÍSICA-QUÍMICA Y BIOLOGÍA DE LOS SISTEMAS NATURALES
554;SANIDAD VEGETAL I
555;INTRODUCCIÓN A LA BOTÁNICA Y BIOLOGÍA VEGETAL
556;MEDIO AMBIENTE APLICADO AL JARDÍN
557;PRÁCTICA PROFESIONAL I
558;PROYECTO DE DISEÑO DEL JARDÍN I
559;PROYECTO DE DISEÑO DEL JARDÍN II
560;TEORÍA Y COMPOSICIÓN EN DISEÑO DEL PAISAJE II
561;PRÁCTICA PROFESIONAL II
562;PLANTAS ORNAMENTALES II
563;TÉCNICAS DE JARDINERÍA
564;REPRODUCCIÓN DE ESPECIES VEGETALES
565;EQUIPAMIENTO
566;SANIDAD VEGETAL II
567;PSICOLOGÍA AMBIENTAL
568;CONSTRUCCIÓN EN ARQUITECTURA DE PAISAJE I
569;ÁRBOLES Y PLANTAS AUTÓCTONAS
570;LEGISLACIÓN AMBIENTAL
571;PLANIFICACIÓN Y EJECUCIÓN DE OBRAS
572;CONSTRUCCIÓN DE ARQUITECTURA DE PAISAJE II
573;ANÁLISIS Y DIAGNÓSTICO AMBIENTAL
574;TECNOLOGÍA PARA TELEVISIÓN DIGITAL E INTERNET
575;FOTOGRAFÍA E ILUMINACIÓN
576;GUIÓN
577;LABORATORIO DE VIDEO CLIP
578;TECNOLOGÍA DEL SONIDO
579;PSICOLOGÍA DEL ESPECTADOR Y EL INTERNAUTA
580;DIRECCIÓN DE CÁMARAS
581;PRODUCCIÓN Y REALIZACIÓN DEL GÉNERO DOCUMENTAL
582;SEMINARIO DE REALIZACIÓN PARA TELEVISIÓN O WEB TV I
583;SEMINARIO DE REALIZACIÓN PARA TELEVISIÓN O WEB TV II
584;TELEVISIÓN INTERACTIVA Y WEB TV
585;ESCENOGRAFÍA Y VESTUARIO
586;RÉGIMEN JURÍDICO DE LA TELEVISIÓN E INTERNET
587;PRODUCCIÓN Y REALIZACIÓN DE GÉNERO INFORMATIVO
588;PUESTA EN ESCENA Y DIRECCIÓN DE ACTORES
589;MARKETING AUDIOVISUAL
590;PRODUCCIÓN Y REALIZACIÓN DE GÉNERO DE ENTRETENIMIENTO
591;PRODUCCIÓN Y REALIZACIÓN DE FICCIÓN
592;TRABAJO FINAL DE REALIZACIÓN PARA TELEVISIÓN O WEB TV
593;TEORÍA DE LAS REDES SOCIALES
594;ANÁLISIS Y CONFECCIÓN DE TEXTOS I
595;LEGISLACIÓN DE LA INFORMACIÓN
596;COMUNICACIÓN PERSUASIVA
597;ANÁLISIS Y CONFECCIÓN DE TEXTOS II
598;GESTIÓN DE PROYECTOS DE COMUNICACIÓN
599;DISEÑO MULTIMEDIAL I
600;DISEÑOMATICA MULTIMEDIAL II
601;HISTORIA CONTEMPORÁNEA
602;MARKETING DIGITAL
603;1- MATEMÁTICA
604;1- LENGUA Y LITERATURA
605;1- INGLÉS
606;1- CS. NATURALES - FÍSICO QUÍMICA
607;1- CS. NATURALES - BIOLOGÍA
608;1- CS. SOCIALES - GEOGRAFÍA
609;1- CS. SOCIALES - HISTORIA
610;1- TALLER DE CIUDADANÍA Y PARTICIPACIÓN
611;1- FORMACIÓN PARA EL TRABAJO
612;1- TALLER ORIENTACIÓN VOCACIONAL-OCUPACIONAL
613;2- MATEMÁTICA
614;2- LENGUA Y LITERATURA
615;2- INGLÉS
616;2- QUÍMICA
617;2- FÍSICA
618;2- PSICOLOGÍA SOCIAL
619;2- CS. SOCIALES - HISTORIA
620;2- PROBLEMÁTICAS ECONÓMICAS ACTUALES
621;2- DERECHO DEL TRABAJO Y LA SEGURIDAD SOCIAL
622;2- ANTROPOLOGÍA SOCIAL Y CULTURAL
623;3- MATEMÁTICA
624;3- LENGUA Y LITERATURA
625;3- INGLÉS
626;3- PROBLEMÁTICA DE SALUD HUMANA Y AMBIENTAL
627;3- SOCIOLOGÍA
628;3- ESPACIO Y SOCIEDAD EN ARGENTINA Y AMÉRICA LATINA
629;3- ESTADO Y ORGANIZACIONES SOCIALES
630;3- GESTIÓN Y PROMOCIÓN SOCIOCULTURAL
631;3- ESPACIO DE VINCULACIÓN CON EL SECTOR
632;EVALUACIÓN DE PROYECTOS LOGÍSTICOS
633;RECURSOS NATURALES
634;TURISMO SUSTENTABLE
635;LEGISLACIÓN TURÍSTICA
636;ADAPTACIÓN A LOS ESTUDIOS DE NIVEL SUPERIOR
637;ADMINISTRACIÓN DE LAS ORGANIZACIONES
638;SEGURIDAD I
639;LEGISLACIÓN LABORAL
640;QUÍMICA GENERAL Y ORGÁNICA
641;INTRODUCCIÓN A LOS ESTUDIOS SUPERIORES
642;PRÁCTICA PROFESIONALIZANTE I - RRHH
643;PRÁCTICA PROFESIONALIZANTE II - RRHH
644;PRÁCTICA PROFESIONALIZANTE III - RRHH
645;PRÁCTICA PROFESIONALIZANTE I - RRPP
646;PRÁCTICA PROFESIONALIZANTE II - RRPP
647;PRÁCTICA PROFESIONALIZANTE III - RRPP
648;PRÁCTICA PROFESIONALIZANTE I - GCF
649;PRÁCTICA PROFESIONALIZANTE II - GCF
650;PRÁCTICA PROFESIONALIZANTE III - GCF
651;PRÁCTICA PROFESIONALIZANTE I - AA
652;PRÁCTICA PROFESIONALIZANTE II - AA
