Id_Alumno;Id_Carrera;Semestre_Ingreso;Año_Ingreso;Id_Ctro_Ext;Id_Modalidad;Fecha_Ingreso;Activo;Sexo;Fecha_Nac
0x01658B6F0BFF098C8FF91D9F694088E6;4;1;2002;CO;P;2002-03-18 00:00:00;S;F;14/10/1975 00:00
0xDCFB260AB1C8A478211A255AEF1119F9;2;1;2001;CO;P;2001-03-12 00:00:00;S;M;23/3/1976 00:00
0x0002EF737D1D58D4FE5B790A5290753F;2;2;2001;CO;P;2001-08-21 00:00:00;S;M;4/11/1975 00:00
0x554704F29CBB7B9F52E0B82211132C06;4;2;2002;CO;P;2002-08-06 00:00:00;S;M;26/4/1976 00:00
0x0EC14A2CDD10BD746EDA3C08DBFD401D;6;1;2001;CO;P;2001-03-19 00:00:00;S;F;24/10/1975 00:00
0x3F0A57CFDAEFBAC35280E91371B427E1;2;1;2001;CO;P;2001-03-26 00:00:00;S;M;12/10/1975 00:00
0xC239F912521322956271521717C1AB25;4;1;2006;CO;P;2005-12-20 00:00:00;S;M;5/12/1975 00:00
0x12BA690718B90137E00806DF23AF968D;1;1;2010;CO;P;2010-03-19 00:00:00;S;M;17/2/1979 00:00
0xD4D13DED5B04D19384792F7FDB70A325;4;1;2002;CO;P;2002-03-18 00:00:00;S;F;7/7/1976 00:00
0x2954FC4912E553DDC54B11A464C88290;1;1;2001;CO;P;2001-03-05 00:00:00;S;M;11/4/1976 00:00
0x13E26893A0339050CC8EDCD9BF6BBB15;5;1;2009;CO;P;2009-02-12 00:00:00;S;M;10/11/1975 00:00
0x1A41773623E7AFEC827C269A6A21E8BE;9;1;2010;CO;P;2010-01-27 00:00:00;S;M;5/1/1976 00:00
0xBBB616B4F10B714F12FF12BCFA2CB439;2;1;2001;CO;P;2001-03-05 00:00:00;S;M;9/2/1976 00:00
0x7401DAE2AFD1B76F27B1260AA3979CEE;4;1;2004;CO;P;2004-03-04 00:00:00;S;M;20/2/1976 00:00
0xD7694BEFDD7D933F01244E179B8AB7FF;4;1;2003;CO;P;2003-03-07 00:00:00;S;M;17/4/1976 00:00
0x940853014B0C4DA1FC84A84442891388;5;1;2005;CO;P;2005-03-02 00:00:00;S;M;9/2/1976 00:00
